"Category","MediaType","RelativePath","Name","Extension","Bytes","ModifiedUtc","FullPath"
"ambience","audio","Content/Sounds/Ambient/Ambient1.ogg","Ambient1.ogg","ogg","114654","2025-06-08T21:11:19.4363750Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Sounds\Ambient\Ambient1.ogg"
"ambience","audio","Content/Sounds/Ambient/Ambient10.ogg","Ambient10.ogg","ogg","73666","2025-06-08T21:11:13.5220737Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Sounds\Ambient\Ambient10.ogg"
"ambience","audio","Content/Sounds/Ambient/Ambient11.ogg","Ambient11.ogg","ogg","102219","2025-06-08T21:11:13.2378297Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Sounds\Ambient\Ambient11.ogg"
"ambience","audio","Content/Sounds/Ambient/Ambient2.ogg","Ambient2.ogg","ogg","214313","2025-06-08T21:11:13.5230742Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Sounds\Ambient\Ambient2.ogg"
"ambience","audio","Content/Sounds/Ambient/Ambient3.ogg","Ambient3.ogg","ogg","127558","2025-06-08T21:11:13.6320898Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Sounds\Ambient\Ambient3.ogg"
"ambience","audio","Content/Sounds/Ambient/Ambient4.ogg","Ambient4.ogg","ogg","116380","2025-06-08T21:11:13.2368300Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Sounds\Ambient\Ambient4.ogg"
"ambience","audio","Content/Sounds/Ambient/Ambient5.ogg","Ambient5.ogg","ogg","88902","2025-06-08T21:11:19.4353871Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Sounds\Ambient\Ambient5.ogg"
"ambience","audio","Content/Sounds/Ambient/Ambient6.ogg","Ambient6.ogg","ogg","160719","2025-06-08T21:11:24.0716837Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Sounds\Ambient\Ambient6.ogg"
"ambience","audio","Content/Sounds/Ambient/Ambient7.ogg","Ambient7.ogg","ogg","118911","2025-06-08T21:11:24.0696837Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Sounds\Ambient\Ambient7.ogg"
"ambience","audio","Content/Sounds/Ambient/Ambient8.ogg","Ambient8.ogg","ogg","76170","2025-06-08T21:11:19.4353871Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Sounds\Ambient\Ambient8.ogg"
"ambience","audio","Content/Sounds/Ambient/Ambient9.ogg","Ambient9.ogg","ogg","115181","2025-06-08T21:11:19.5421486Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Sounds\Ambient\Ambient9.ogg"
